id,facebook_id,page_name,page_type
328,213639758781,DiGiorno,company
18409,8103318119,Target,company
4113,163727990337294,Jack's Frozen Pizza,company
13407,293279930803,Juicy Juice,company
14074,222096161153438,NESTEA,company
2216,45415668089,NET-A-PORTER,company
9392,307698459372482,Alvin and The Chipmunks,tvshow
11564,402536139818075,Pop Secret,company
13643,174497176702,Mega Bloks,company
16340,221781151169277,The Gherm Guys,tvshow
2117,120705594693699,The Cousins,tvshow
3753,52428614343,Alden's Ice Cream,company
8340,149303943114,Viva Towels,company
10068,153762238001997,Pepperidge Farm,company
10166,112601828783168,Polaner,company
10971,29412851044,V8,company
16660,109589085916,The New York Times Store,company
13721,113000750454,MARIMEKKO,company
13887,150795508293443,Gold Peak Tea,company
15478,88309084610,Butterball,company
16933,195794080433469,Target Style,company
2114,84917688371,Cartoon Network,company
2833,129722567041169,B&M,company
10691,171304385130,Pocket Books,company
12165,129660848992,LUNA,company
7162,97741787690,dineLA,company
13443,224583260713,TerraCycle,company
13984,112232555454555,Ac'cent,company
14249,140122956765,ENERGY STAR,government
16870,330971922747,Revlon,company
2837,121132057960602,Butterkist,company
16847,247816961900797,Walmart Guatemala,company
22273,117324494994945,Pillsbury Baking,company
18737,440379612714529,Nestlé MUNCH,company
18051,339116879433366,Crunch México,company
484,112558978762116,Franco Sarto,company
2679,270044503088834,Coffee-Mate México,company
15852,67675928074,A&W Restaurants,company
6065,134998738273,Nestlé Purina Careers,company
2112,214145243182,BJ's Wholesale Club,company
12667,152064824807652,Progresso,company
5453,144153092308598,Lance Snacks,company
12078,7935724100,The Bold and the Beautiful,tvshow
6471,63930976784,The Price Is Right,tvshow
13364,151251687726,Let's Make A Deal,tvshow
12677,24922591487,Whole Foods Market,company
21151,144818202231736,Studio 5,tvshow
2533,121402107895047,Property Brothers,tvshow
4187,360728934035462,Once Upon a Time in Wonderland,tvshow
2337,532457723468558,Mind Games,tvshow
2890,389408604430622,The Neighbors,tvshow
2544,284170329382,Fleet Week New York,government
140,368704976650667,SoFlo TASTE,tvshow
12751,118864998207949,Jennie-O Turkey,company
3655,160973900622259,Outshine Snacks,company
21273,218951054092,NET10,company
6447,139518542733731,NAFE- National Association for Female Executives,company
21845,116451745069490,Ball® Canning & Recipes,company
20443,6398011739,The Princeton Review - College and Beyond,company
19956,103484599690239,siggi's,company
19298,126730084069572,NESTEA,company
19004,337789902903558,NESTEA,company
15798,326829007353201,Colombina,company
21489,59306617060,Good Morning America,tvshow
8353,188233697878024,Chris Jansing,tvshow
2726,236257739743085,Pepperidge Farm Puff Pastry,company
18208,49482289231,KPLC 7 News Sunrise,tvshow
2105,9322764314,Telstra,company
7320,137107446322218,USFWS Endangered Species,government
19885,175158112543543,Harry S Truman National Historic Site,government
16887,27663384929,Enjoy Illinois,company
21214,13411611241,Crocs,company
9196,190425724316035,SPAM,company
10711,62499551911,MSNBC Your Business,tvshow
13323,81433893033,"British Consulate General, Miami",government
6606,141168822602678,BaubleBar,company
16568,557208044289481,Brownberry Bread,company
1485,117112876419,Dateline NBC,tvshow
9597,65189676254,Lindblad Expeditions,company
9337,280920811923248,PoliticsNation with Al Sharpton,tvshow
12076,305948749433410,Now With Alex Wagner,tvshow
18216,146385486424,"AFOSR, Air Force Office of Scientific Research",government
20770,311426478894426,Air Force NYC,government
20693,80593611889,State Farm,company
11008,387830981230058,KSL Today,tvshow
15116,102436154792,City of Ankeny - Government,government
15862,225445328411,HomeAway,company
1660,148448185226021,goodnessKNOWS,company
6158,140663735953,Comcast Impact,company
17344,264283573600431,Duty Free,company
19984,156033061085638,Roger Vivier,company
18180,182219886586,Carter's,company
18808,187112564643556,NESCAFÉ Dolce Gusto US,company
20805,82792632902,timi & leslie,company
20643,177477184460,OshKosh B'gosh,company
11926,165182046898336,A Christmas Story,company
11131,115925188444005,Tabasco,company
19253,119115358133249,eSalon,company
13434,293304441350,Madigan Army Medical Center,government
15156,166819311126,GE Appliances,company
16685,144893008857732,Extreme Weight Loss,tvshow
19922,546116848772000,Back In The Game,tvshow
13555,164004666994498,Suburgatory,tvshow
12247,213256866909,U.S. Coast Guard Station New York,government
10395,240433612748550,Betrayal,tvshow
14622,100546646812730,Trophy Wife,tvshow
10973,643451279015271,Super Fun Night,tvshow
14169,421182894613231,Agents of S.H.I.E.L.D.,tvshow
22385,149832528524931,Mixology,tvshow
16431,218382761507876,Revenge,tvshow
7043,110294045774000,Malibu Country,tvshow
6265,297853666936769,Emerald,company
11414,102637879788215,Board Dudes,company
9924,40155181493,Toys''R''Us,company
779,108905269168364,Conan O'Brien Presents: Team Coco,tvshow
9073,8133109770,Rumblefish,company
9936,316865268380131,Crock-Pot Seasoning Mixes,company
1156,391016904265056,Wright's Liquid Smoke,company
3269,135183981456,The New York Times - Travel Show,company
6404,122463891114330,Embassy of Finland in Bangkok,government
12311,122520672138,Green Giant,company
1044,10139643057,Lay's,company
1479,794258940629247,We Bare Bears,tvshow
1230,122908054392375,Star Trek,tvshow
7173,65604112975,Nike+ Run Club,company
306,6185812851,American Express,company
6797,50041802208,Gilt.com,company
5410,130405304915,Starburst,company
9324,58114271993,LARABAR,company
1837,61494007098,Office Depot,company
7705,167658763270506,Frito-Lay,company
20141,110674865650599,Kimberly-Clark Corporation (United States),company
8613,127320540734228,Molly McButter,company
2750,140646799318965,Seattle City Light,government
3004,84398256230,Lowe's Home Improvement,company
6481,267973120051766,Making Home Affordable,government
7083,323308671749,EPA Burn Wise,government
15066,276862562862,U.S. Environmental Protection Agency - Pacific Southwest,government
11136,75139383837,Town Shoes,company
221,17433690754,Glassdoor,company
648,116742961694579,EAS Sports Nutrition,company
891,333357666798151,Studio 10,tvshow
11451,21531809863,Criminal Minds,tvshow
15810,105736048547,Applegate,company
1160,314428835302764,Enlightened,company
3570,198883826804920,Liberte USA,company
1688,241354085245,Pacific Foods,company
8577,145397435490970,Castello,company
9352,89263729500,Citi Summer Streets,government
11225,120369610878,Kerrygold USA,company
3247,11936081183,Naked Juice,company
4846,167700863268794,Great British Chefs,company
339,126834980750296,All Hands Magazine,government
2142,110175928998256,USS KEARSARGE (LHD 3),government
20489,106245416086016,Family Dollar,company
17154,179590995428478,Bank of America,company
15359,341984025882724,Marriott Hotels,company
14971,143602039041041,Marriott International,company
12569,7976226799,The Daily Show,tvshow
1019,115199588499958,The People's Court,tvshow
11657,54743106947,U.S. Embassy in Mozambique,government
16392,59526724529,shopDisney,company
16349,201684259879724,Ocean Mysteries with Jeff Corwin,tvshow
17148,1561993864070250,U.S. Coast Guard Maritime Safety & Security Team - 91105,government
19399,76157017525,The Gorilla Glue Company,company
21125,46809477487,CT Style,tvshow
1620,130834060284601,TODAY,tvshow
7891,116720218364526,News 8 Daybreak,tvshow
13893,79563431757,TriggerPoint,company
7974,177534557034,The Muppets,tvshow
16009,205186359522285,Lawry's,company
18708,91454100943,YETI,company
1860,162625492360,Michele Bachmann,politician
5353,21392801120,Mitt Romney,politician
5931,141612225858387,USFWS Tribal Programs,government
5361,1433456993647993,Every Kid in a Park,government
5486,72805269206,Rainforest Cafe,company
50,126291660767367,Alabama Ecological Services Field Office,government
496,59420116388,National Park Service,government
3073,38798304057,"Norfolk District, U.S. Army Corps of Engineers",government
1683,182579388420971,White-Nose Syndrome in Bats,government
6441,136693759691210,"U.S. Army Corps of Engineers, Headquarters",government
2801,5890187327,QuikTrip,company
9192,247029715331450,Fort Langley National Historic Site,government
8883,25633842678,U.S. Coast Guard,government
11269,109251729129720,Constitution,government
11341,21609611713,Marine Corps Recruiting,government
14031,109464015773955,U.S. Department of the Interior,government
9827,880076568686762,Rock the Park,tvshow
16895,44053938557,U.S. Army,government
56,378134195601552,"Historic Preservation Division, Illinois Department of Natural Resources",government
1758,101827423245383,The Morning Show,tvshow
16712,108726828894,T-Mobile,company
2101,247559952404,Crocs,company
2163,424665887545554,Longmire,tvshow
2810,403894771801,Crocs,company
7153,212977406471,Crocs,company
16903,78401618331,Better,tvshow
14749,224013000944060,Crocs,company
615,81452861215,Journeys,company
1300,251075890973,Crocs,company
3303,416217435088348,Crocs,company
14936,147285781446,DICK'S Sporting Goods,company
6601,151336209317,Crocs,company
3420,76903425829,British Airways,company
4750,126491857401470,British Embassy Bucharest,government
9599,232756440630,"British Embassy, Kabul",government
19648,174935979188327,UK in Oman,government
7956,51617358986,First Coast News,tvshow
7792,134723499874674,بریتانیا در ایران,government
10005,131773280187018,UK in Egypt,government
3257,124520577574217,AFN Wiesbaden,government
8389,556009751142521,"U.S. Army Aviation, Missile, Research, Development and Engineering Center",government
18969,31543029394,60 Minutes,tvshow
11315,168170833215856,International Space Station,government
12315,398017433603400,NASA's Cassini Mission to Saturn,government
5513,288818151198,Joint Base Lewis-McChord,government
14392,226337957389729,NASA's Satellite Servicing Projects Division,government
15821,250189231547,Defense Information Systems Agency,government
16398,127036233989057,Coaching Into Care,government
10339,312032038844013,U.S. Army Engineer Research and Development Center (ERDC),government
5458,381950967432,Defense Logistics Agency (DLA),government
6383,579716978788649,United States Army Advanced Airborne School,government
8790,49769178351,NORAD and USNORTHERN Command,government
9031,1423532354529181,Rosetta Mission,government
9241,287901225386,82nd Airborne Division,government
